A股代码,证券简称,上市日期
600648,外高桥,19930504
600649,城投控股,19930518
600650,锦江在线,19930607
600651,飞乐音响,19901219
600653,申华控股,19901219
600654,ST中安,19901219
600655,豫园股份,19920902
600657,信达地产,19930524
600658,电子城,19930524
600660,福耀玻璃,19930610
600661,昂立教育,19930614
600662,外服控股,19930614
600663,陆家嘴,19930628
600664,哈药股份,19930629
600665,天地源,19930709
600666,ST瑞德,19930712
600667,太极实业,19930728
600668,尖峰集团,19930728
600671,星ST目药,19930823
600673,东阳光,19930917
600674,川投能源,19930924
600675,中华企业,19930924
600676,交运股份,19930928
600678,四川金顶,19931008
600679,上海凤凰,19931008
600681,百川能源,19931018
600682,南京新百,19931018
600683,京投发展,19931025
600684,珠江股份,19931028
600685,中船防务,19931028
600686,金龙汽车,19931108
600688,上海石化,19931108
600689,上海三毛,19931108
600690,海尔智家,19931119
600691,阳煤化工,19931119
600692,亚通股份,19931119
600693,东百集团,19931122
600694,大商股份,19931122
600696,岩石股份,19931206
600697,欧亚集团,19931206
600698,湖南天雁,19931206
600699,均胜电子,19931206
600702,舍得酒业,19960524
600703,三安光电,19960528
600704,物产中大,19960606
600705,中航产融,19960516
600706,曲江文旅,19960516
600707,彩虹股份,19960520
600708,光明地产,19960606
600710,苏美达,19960701
600711,盛屯矿业,19960531
600712,南宁百货,19960626
600713,南京医药,19960701
600714,金瑞矿业,19960606
600715,文投控股,19960701
600716,凤凰股份,19960702
600717,天津港,19960614
600718,东软集团,19960618
600719,大连热电,19960716
600720,中交设计,19960716
600721,百花医药,19960626
600722,金牛化工,19960626
600724,宁波富达,19960716
600725,云维股份,19960702
600726,华电能源,19960701
600727,鲁北化工,19960702
600728,佳都科技,19960716
600729,重庆百货,19960702
600730,中国高科,19960726
600731,湖南海利,19960802
600732,爱旭股份,19960816
600733,北汽蓝谷,19960816
600734,ST实达,19960808
600735,新华锦,19960726
600736,苏州高新,19960815
600737,中粮糖业,19960731
600738,丽尚国潮,19960802
600739,辽宁成大,19960819
600740,山西焦化,19960808
600741,华域汽车,19960826
600742,一汽富维,19960826
600743,华远地产,19960909
600744,华银电力,19960905
600745,闻泰科技,19960828
600746,江苏索普,19960918
600748,上实发展,19960925
600749,西藏旅游,19961015
600750,江中药业,19960923
600751,海航科技,19960909
600753,庚星股份,19960927
600754,锦江酒店,19961011
600755,厦门国贸,19961003
600756,浪潮软件,19960923
600757,长江传媒,19961003
600758,辽宁能源,19961029
600759,ST洲际,19961008
600760,中航沈飞,19961011
600761,安徽合力,19961009
600763,通策医疗,19961030
600764,中国海防,19961104
600765,中航重机,19961106
600766,星ST园城,19961028
600768,宁波富邦,19961111
600769,祥龙电业,19961101
600770,综艺股份,19961120
600771,广誉远,19961105
600773,西藏城投,19961108
600774,汉商集团,19961108
600775,南京熊猫,19961118
600776,东方通信,19961126
600777,新潮能源,19961121
600778,友好集团,19961203
600779,水井坊,19961206
600780,通宝能源,19961205
600782,新钢股份,19961225
600783,鲁信创投,19961225
600784,鲁银投资,19961225
600785,新华百货,19970108
600787,中储股份,19970121
600789,鲁抗医药,19970226
600790,轻纺城,19970228
600791,京能置业,19970130
600792,云煤能源,19970123
600793,宜宾纸业,19970220
600794,保税科技,19970306
600795,国电电力,19970318
600796,钱江生化,19970408
600797,浙大网新,19970418
600798,宁波海运,19970423
600800,渤海化学,19931206
600801,华新水泥,19940103
600802,福建水泥,19940103
600803,新奥股份,19940103
600804,ST鹏博士,19940103
600805,悦达投资,19940103
600807,济南高新,19940103
600808,马钢股份,19940106
600809,山西汾酒,19940106
600810,神马股份,19940106
600811,东方集团,19940106
600812,华北制药,19940114
600814,杭州解百,19940114
600815,厦工股份,19940128
600816,建元信托,19940128
600817,宇通重工,19940128
600818,中路股份,19940128
600819,耀皮玻璃,19940128
600820,隧道股份,19940128
600821,金开新能,19940128
600822,上海物贸,19940204
600823,ST世茂,19940204
600824,益民集团,19940204
600825,新华传媒,19940204
600826,兰生股份,19940204
600827,百联股份,19940204
600828,茂业商业,19940224
600829,人民同泰,19940224
600830,香溢融通,19940224
600831,广电网络,19940224
600833,第一医药,19940224
600834,申通地铁,19940224
600835,上海机电,19940224
600836,上海易连,19940224
600837,海通证券,19940224
600838,上海九百,19940224
600839,四川长虹,19940311
600841,动力新科,19940311
600843,上工申贝,19940311
600844,丹化科技,19940311
600845,宝信软件,19940311
600846,同济科技,19940311
600847,万里股份,19940324
600848,上海临港,19940324
600850,电科数字,19940324
600851,海欣股份,19940404
600853,龙建股份,19940404
600854,春兰股份,19940425
600855,航天长峰,19940425
600857,宁波中百,19940425
600858,银座股份,19940506
600859,王府井,19940506
600860,京城股份,19940506
600861,北京人力,19940520
600862,中航高科,19940520
600863,内蒙华电,19940520
600864,哈投股份,19940809
600865,百大集团,19940809
600866,星湖科技,19940818
600867,通化东宝,19940824
600868,梅雁吉祥,19940912
600869,远东股份,19950206
600871,石化油服,19950411
600872,中炬高新,19950124
600873,梅花生物,19950217
600874,创业环保,19950630
600875,东方电气,19951010
600876,凯盛新能,19951031
600877,电科芯片,19951013
600879,航天电子,19951115
600880,博瑞传播,19951115
600881,亚泰集团,19951115
600882,妙可蓝多,19951206
600883,博闻科技,19951208
600884,杉杉股份,19960130
600885,宏发股份,19960205
600886,国投电力,19960118
600887,伊利股份,19960312
600888,新疆众和,19960215
600889,南京化纤,19960308
600892,大晟文化,19960315
600893,航发动力,19960408
600894,广日股份,19960328
600895,张江高科,19960422
600897,厦门空港,19960531
600898,ST美讯,19960418
600900,长江电力,20031118
600901,江苏金租,20180301
600903,贵州燃气,20171107
600905,三峡能源,20210610
600906,财达证券,20210507
600908,无锡银行,20160923
600909,华安证券,20161206
600916,中国黄金,20210205
600917,重庆燃气,20140930
600918,中泰证券,20200603
600919,江苏银行,20160802
600925,苏能股份,20230329
600926,杭州银行,20161027
600927,永安期货,20211223
600928,西安银行,20190301
600929,雪天盐业,20180326
600933,爱柯迪,20171117
600935,华塑股份,20211126
600936,广西广电,20160815
